District,Taluk,Market,Commodity,Month,Arrival,Unit,Month_Num
Bagalakot,Badami,BADAMI,Bajra,Jan,242,Quintal,1
Bagalakot,Badami,BADAMI,Bull,Jan,65,Numbers,1
Bagalakot,Badami,BADAMI,Cow,Jan,151,Numbers,1
Bagalakot,Badami,BADAMI,Goat,Jan,492,Numbers,1
Bagalakot,Badami,BADAMI,Groundnut,Jan,364,Quintal,1
Bagalakot,Badami,BADAMI,He Baffalo,Jan,41,Numbers,1
Bagalakot,Badami,BADAMI,Jowar,Jan,4,Quintal,1
Bagalakot,Badami,BADAMI,Maize,Jan,6401,Quintal,1
Bagalakot,Badami,BADAMI,Ox,Jan,233,Numbers,1
Bagalakot,Badami,BADAMI,Ram,Jan,180,Numbers,1
Bagalakot,Badami,BADAMI,Sajje,Jan,4649,Quintal,1
Bagalakot,Badami,BADAMI,She Baffalo,Jan,290,Numbers,1
Bagalakot,Badami,BADAMI,She Goat,Jan,2948,Numbers,1
Bagalakot,Badami,BADAMI,Sheep,Jan,4027,Numbers,1
Bagalakot,Badami,BADAMI,Sunflower,Jan,990,Quintal,1
Bagalakot,Badami,BADAMI,Alasande Gram,Feb,5,Quintal,2
Bagalakot,Badami,BADAMI,Bajra,Feb,2872,Quintal,2
Bagalakot,Badami,BADAMI,Bull,Feb,56,Numbers,2
Bagalakot,Badami,BADAMI,Cow,Feb,159,Numbers,2
Bagalakot,Badami,BADAMI,Goat,Feb,252,Numbers,2
Bagalakot,Badami,BADAMI,Groundnut,Feb,87,Quintal,2
Bagalakot,Badami,BADAMI,He Baffalo,Feb,56,Numbers,2
Bagalakot,Badami,BADAMI,Horse Gram,Feb,5,Quintal,2
Bagalakot,Badami,BADAMI,Jowar,Feb,23,Quintal,2
Bagalakot,Badami,BADAMI,Maize,Feb,5184,Quintal,2
Bagalakot,Badami,BADAMI,Ox,Feb,94,Numbers,2
Bagalakot,Badami,BADAMI,Ram,Feb,259,Numbers,2
Bagalakot,Badami,BADAMI,She Baffalo,Feb,258,Numbers,2
Bagalakot,Badami,BADAMI,She Goat,Feb,3230,Numbers,2
Bagalakot,Badami,BADAMI,Sheep,Feb,4940,Numbers,2
Bagalakot,Badami,BADAMI,Sunflower,Feb,304,Quintal,2
Bagalakot,Badami,BADAMI,Alasande Gram,Mar,756,Quintal,3
Bagalakot,Badami,BADAMI,Bajra,Mar,6401,Quintal,3
Bagalakot,Badami,BADAMI,Bengalgram,Mar,14,Quintal,3
Bagalakot,Badami,BADAMI,Bull,Mar,94,Numbers,3
Bagalakot,Badami,BADAMI,Cow,Mar,176,Numbers,3
Bagalakot,Badami,BADAMI,Goat,Mar,507,Numbers,3
Bagalakot,Badami,BADAMI,Groundnut,Mar,650,Quintal,3
Bagalakot,Badami,BADAMI,He Baffalo,Mar,37,Numbers,3
Bagalakot,Badami,BADAMI,Jowar,Mar,17,Quintal,3
Bagalakot,Badami,BADAMI,Maize,Mar,6401,Quintal,3
Bagalakot,Badami,BADAMI,Ox,Mar,156,Numbers,3
Bagalakot,Badami,BADAMI,Ram,Mar,545,Numbers,3
Bagalakot,Badami,BADAMI,She Baffalo,Mar,392,Numbers,3
Bagalakot,Badami,BADAMI,She Goat,Mar,4244,Numbers,3
Bagalakot,Badami,BADAMI,Sheep,Mar,5515,Numbers,3
Bagalakot,Badami,BADAMI,Sunflower,Mar,16,Quintal,3
Bagalakot,Badami,BADAMI,Alasande Gram,Apr,800,Quintal,4
Bagalakot,Badami,BADAMI,Bajra,Apr,1923,Quintal,4
Bagalakot,Badami,BADAMI,Bull,Apr,41,Numbers,4
Bagalakot,Badami,BADAMI,Cotton,Apr,106,Quintal,4
Bagalakot,Badami,BADAMI,Cow,Apr,119,Numbers,4
Bagalakot,Badami,BADAMI,Goat,Apr,1465,Numbers,4
Bagalakot,Badami,BADAMI,Greengram,Apr,69,Quintal,4
Bagalakot,Badami,BADAMI,Groundnut,Apr,592,Quintal,4
Bagalakot,Badami,BADAMI,He Baffalo,Apr,33,Numbers,4
Bagalakot,Badami,BADAMI,Jowar,Apr,58,Quintal,4
Bagalakot,Badami,BADAMI,Maize,Apr,107,Quintal,4
Bagalakot,Badami,BADAMI,Ox,Apr,90,Numbers,4
Bagalakot,Badami,BADAMI,Ram,Apr,87,Numbers,4
Bagalakot,Badami,BADAMI,She Baffalo,Apr,230,Numbers,4
Bagalakot,Badami,BADAMI,She Goat,Apr,1865,Numbers,4
Bagalakot,Badami,BADAMI,Sheep,Apr,3925,Numbers,4
Bagalakot,Badami,BADAMI,Sunflower,Apr,570,Quintal,4
Bagalakot,Badami,BADAMI,Alasande Gram,May,205,Quintal,5
Bagalakot,Badami,BADAMI,Bajra,May,684,Quintal,5
Bagalakot,Badami,BADAMI,Bull,May,117,Numbers,5
Bagalakot,Badami,BADAMI,Cow,May,185,Numbers,5
Bagalakot,Badami,BADAMI,Goat,May,1480,Numbers,5
Bagalakot,Badami,BADAMI,Groundnut,May,393,Quintal,5
Bagalakot,Badami,BADAMI,He Baffalo,May,46,Numbers,5
Bagalakot,Badami,BADAMI,Jowar,May,49,Quintal,5
Bagalakot,Badami,BADAMI,Maize,May,1098,Quintal,5
Bagalakot,Badami,BADAMI,Ox,May,180,Numbers,5
Bagalakot,Badami,BADAMI,Ram,May,628,Numbers,5
Bagalakot,Badami,BADAMI,She Baffalo,May,361,Numbers,5
Bagalakot,Badami,BADAMI,She Goat,May,1716,Numbers,5
Bagalakot,Badami,BADAMI,Sheep,May,2610,Numbers,5
Bagalakot,Badami,BADAMI,Sunflower,May,402,Quintal,5
Bagalakot,Badami,BADAMI,Alasande Gram,Jun,206,Quintal,6
Bagalakot,Badami,BADAMI,Bajra,Jun,409,Quintal,6
Bagalakot,Badami,BADAMI,Bull,Jun,144,Numbers,6
Bagalakot,Badami,BADAMI,Cotton,Jun,11,Quintal,6
Bagalakot,Badami,BADAMI,Cow,Jun,350,Numbers,6
Bagalakot,Badami,BADAMI,Goat,Jun,942,Numbers,6
Bagalakot,Badami,BADAMI,He Baffalo,Jun,39,Numbers,6
Bagalakot,Badami,BADAMI,Jowar,Jun,46,Quintal,6
Bagalakot,Badami,BADAMI,Maize,Jun,515,Quintal,6
Bagalakot,Badami,BADAMI,Ox,Jun,190,Numbers,6
Bagalakot,Badami,BADAMI,Ram,Jun,678,Numbers,6
Bagalakot,Badami,BADAMI,She Baffalo,Jun,357,Numbers,6
Bagalakot,Badami,BADAMI,She Goat,Jun,1853,Numbers,6
Bagalakot,Badami,BADAMI,Sheep,Jun,3194,Numbers,6
Bagalakot,Badami,BADAMI,Sunflower,Jun,220,Quintal,6
Bagalakot,Badami,BADAMI,Bajra,Jul,713,Quintal,7
Bagalakot,Badami,BADAMI,Bull,Jul,88,Numbers,7
Bagalakot,Badami,BADAMI,Cow,Jul,258,Numbers,7
Bagalakot,Badami,BADAMI,Goat,Jul,676,Numbers,7
Bagalakot,Badami,BADAMI,Groundnut,Jul,1386,Quintal,7
Bagalakot,Badami,BADAMI,He Baffalo,Jul,22,Numbers,7
Bagalakot,Badami,BADAMI,Jowar,Jul,116,Quintal,7
Bagalakot,Badami,BADAMI,Maize,Jul,4262,Quintal,7
Bagalakot,Badami,BADAMI,Ox,Jul,147,Numbers,7
Bagalakot,Badami,BADAMI,Ram,Jul,590,Numbers,7
Bagalakot,Badami,BADAMI,She Baffalo,Jul,345,Numbers,7
Bagalakot,Badami,BADAMI,She Goat,Jul,1535,Numbers,7
Bagalakot,Badami,BADAMI,Sheep,Jul,1553,Numbers,7
Bagalakot,Badami,BADAMI,Bajra,Aug,792,Quintal,8
Bagalakot,Badami,BADAMI,Bull,Aug,109,Numbers,8
Bagalakot,Badami,BADAMI,Cow,Aug,278,Numbers,8
Bagalakot,Badami,BADAMI,Goat,Aug,890,Numbers,8
Bagalakot,Badami,BADAMI,Groundnut,Aug,40,Quintal,8
Bagalakot,Badami,BADAMI,He Baffalo,Aug,36,Numbers,8
Bagalakot,Badami,BADAMI,Jowar,Aug,180,Quintal,8
Bagalakot,Badami,BADAMI,Maize,Aug,3678,Quintal,8
Bagalakot,Badami,BADAMI,Neem Seed,Aug,90,Quintal,8
Bagalakot,Badami,BADAMI,Ox,Aug,233,Numbers,8
Bagalakot,Badami,BADAMI,Ram,Aug,790,Numbers,8
